date,description,amount,balance_after
2026-02-01,Salary credit,45000,45000
2026-02-02,House rent,18000,27000
2026-02-03,Electricity bill,2200,24800
2026-02-04,Grocery mart,1650,23150
2026-02-05,Metro card recharge,500,22650
2026-02-06,Internet bill,999,21651
2026-02-07,Coffee shop,280,21371
2026-02-08,Food delivery,620,20751
2026-02-09,Movie tickets,750,20001
2026-02-10,Pharmacy,430,19571
2026-02-11,Cloud subscription,299,19272
2026-02-12,Mobile recharge,399,18873
2026-02-13,Book store,820,18053
2026-02-14,Cab ride,340,17713
2026-02-15,Weekend grocery,1430,16283
2026-02-16,Streaming subscription,199,16084
